group,member_url
Quoc Hoc Artsy Zone ,https://facebook.com/vietphuongvtvhue
Thừa Lưu - Những điều chưa nói ,https://facebook.com/vietnguyen183
Quoc Hoc Artsy Zone ,https://facebook.com/vietnamesepoteto
ALĐ Confessions ,https://facebook.com/vietlong.phan.904
Nguyễn Đình Chiểu-Huế Confessions ,https://facebook.com/viethoang.tranba
Đoàn Trường THPT Vinh Xuân ,https://facebook.com/viethao.le.313
Dự án LĂNG KÍNH ,https://facebook.com/viethan.dichvu.1
Nguyễn Đình Chiểu-Huế Confessions ,https://facebook.com/vietdai0504
ALĐ Confessions ,https://facebook.com/vietcuong.phan.94064
Đoàn Trường THPT Tam Giang ,https://facebook.com/vietcong.truong.39
Trường THPT Chi Lăng - Huế ,https://facebook.com/vietba.ho.37
Đoàn TNCS Hồ Chí Minh trường THPT Bùi Thị Xuân - Huế ,https://facebook.com/vietan.le.12177
CLB Cầu Lông Trường ALĐ ,https://facebook.com/viet.trantuan.393
CLB Bóng rổ The Beast - THPT Bùi Thị Xuân ,https://facebook.com/viem.thien.1
QH Confessions ,https://facebook.com/vidangthcsqxk7a
TUỔI TRẺ HƯƠNG THỦY ,https://facebook.com/Victory.Tatoo
CLB Phát thanh Tuổi Hồng - Trường THPT Phong Điền ,https://facebook.com/vi.han.351104
Thư viện THPT Vinh Xuân ,https://facebook.com/vhkp8
Nguyễn Trường Tộ Basketball ,https://facebook.com/vhkm.0808
Nguyễn Đình Chiểu-Huế Confessions ,https://facebook.com/verno30.9
Truong PTDT Tinh Confession ,https://facebook.com/Veochuche.120405
TUỔI TRẺ HƯƠNG THỦY ,https://facebook.com/ve.tran.35977897
Thừa Lưu - Những điều chưa nói ,https://facebook.com/vcoch2711
Hương Thủy Confessions ,https://facebook.com/Vcd.tn14
CLB Âm Nhạc Quốc Học - Huế ,https://facebook.com/vanvinh.nguyen.31
Đoàn Trường THPT Phan Đăng Lưu - Huế ,https://facebook.com/vantrungkien.tran
Căn Tin Trường Hai Bà Trưng-Huế ,https://facebook.com/vantranggiau
Nguyễn Đình Chiểu-Huế Confessions ,https://facebook.com/vantoan1708.vn
Thừa Lưu - Những điều chưa nói ,https://facebook.com/vantin.bui.7165
Hương Thủy Confessions ,https://facebook.com/vanthienn1909
Cheetah Volleyball - CLB Bóng Chuyền Quốc Học ,https://facebook.com/vanquy.giap.3
Trường THPT Cao Thắng - Huế ,https://facebook.com/vanphu.dangg
Đoàn TNCS Hồ Chí Minh trường THPT Bùi Thị Xuân - Huế ,https://facebook.com/vannhu.nguyen.18007
Nguyễn Đình Chiểu-Huế Confessions ,https://facebook.com/vanngocthuy.tran
Evergreen - CLB QUỐC HỌC XANH ,https://facebook.com/vanminhcutee
Gia Hội Confessions ,https://facebook.com/vanminh.1104
Đoàn Trường THPT Chuyên Khoa học Huế ,https://facebook.com/vanloi.pham.5245961
HV Confessions ,https://facebook.com/vanlanh.ngo.798
Thuận An Confessions ,https://facebook.com/vanlai07012008
An Lương Đông Football Club ,https://facebook.com/vankimcuong.nguyen
QH Wolves - CLB Bóng Đá Quốc Học Huế ,https://facebook.com/vankiet.cap
Hương Trà Confessions ,https://facebook.com/vanhuy.bui.1069
